Agriculture__forestry__and_fishing__value_added____of_GDP_.png,"The graph shows the percentage of GDP that is attributed to agriculture, forestry, and fishing in selected countries from 1975 to 2023. Some countries have missing information. The highest values (> 50%) are recorded by Georgia (1992 to 1995), Nepal (1975 to 1987), and Burundi (1975 to 1987). The trend is generally downward in all countries, with a max value of 38% of a country's GDP attributed to agriculture, forestry, and fishing by 2023."
Agriculture__forestry__and_fishing__value_added__annual___growth_.png,"The graph shows the value added of agriculture, forestry, and fishing in selected countries from 1977 to 2023, measured in annual growth rate. Some countries have missing information. The highest values (> 17%) are recorded by Chad (2002 to 2006), Liberia (2007 to 2011), and Malta (1997 to 2001, 2020 to 2023). Majority of the recorded annual growth rate falls between 1% to 9%, followed by -7% to 1%, indicating that the growth rate of agriculture, forestry and fishing relatively stays the same with exceptions to some countres."
Agriculture__forestry__and_fishing__value_added__constant_2015_US__.png,"The graph shows the value added of agriculture, forestry, and fishing in selected countries from 1977 to 2023, measured in constant 2015 US dollars. Some countries have missing information. Most countries consistently reported the lowest values (< 12.6 billion) except the Philippines, Japan, and Colombia. The highest values (> 50.5 billion) were recorded by Japan from 1989 to 2012. The Philippines had the highest value added from 1977 to 1988, while Japan had the highest from 1989 to 2023."
Agriculture__forestry__and_fishing__value_added__constant_LCU_.png,"The graph shows the value added of agriculture, forestry, and fishing in selected countries from 1977 to 2023, measured in constant LCU. Some countries have missing information. Most countries consistently reported the lowest values (< 3.89 trillion) except Myanmar. The highest values (> 1.56 trillion) were recorded by Myanmar 2006 to 2023."
Agriculture__forestry__and_fishing__value_added__current_LCU_.png,"The graph shows the value added of agriculture, forestry, and fishing in selected countries from 1977 to 2023, measured in current LCU. Some countries have missing information. Most countries consistently reported the lowest values (< 20.1 trillion) except Cambodia and Colombia. The highest values (> 80.5 trillion) were recorded by Colombia from 2019 to 2023."
Agriculture__forestry__and_fishing__value_added__current_US__.png,"The graph shows the value added of agriculture, forestry, and fishing in selected countries from 1977 to 2023, measured in current US dollars. Majority of the countries have missing data, while some have sparse recorded data. Most countries consistently reported the lowest values (< 5.84 billion) except South Korea, Cambodia, and Sweden. The highest values (> 23.4 billion) were recorded by South Korea (1994 to 1999, 2006 to 2023). South Korea also constantly had one of, if not the highest value added among the selected countries."
Agriculture__forestry__and_fishing__value_added_per_worker__constant_2015_US__.png,"The graph shows the value added per worker of agriculture, forestry, and fishing in selected countries from 1991 to 2022, measured in constant 2015 US dollars. Some countries have missing information, and United States has sparse data. Most countries' reports fall into the lower scale (< 31,600) except for United States, Malta, Hong Kong, Suriname, and Czechia. The highest values (> 63,000) were recorded by United States (2015 to 2017), Malta (2021 to 2022), and Suriname (1991 to 1993)."
Agriculture_workers____of_employment_.png,"The graph shows the number of agriculture workers in selected countries from 1991 to 2019, expressed in percentage of the country's total employment. Malta, Germany, Slovenia, and French Polynesia consistently reported the lowest values on employment in agriculture (< 16%). On the other hand, Congo and Vanuatu consistently reported the highest values (> 62%) on employment, alongside Cambodia from 1991 to 2014, Liberia from 1991 to 2008, and Moldova from 2000 to 2002. The trend is generally downward, with countries having reduced number of employed agriculture workers relative to total employment."
Aid_given__2007_US__.png,"The graph shows the aid given of selected countries from 1967 to 2007, expressed in 2007 US dollars. Some countries have missing information. Most countries consistently reported low values (19.7 million to 3.61 bilion) except Germany, Italy, United Kingdom, Japan, United States, and France. The highest aid given (18 billion) was given by United States from 2005 to 2007. Aid given seems to relatively stay the same or increases throughout the period."
Aid_given____of_GNI_.png,"The graph shows the aid given of selected countries from 1967 to 2007, expressed in percent of GNI. Some countries have missing information. The highest aid given relative to their GNI were recorded by Netherlands (1977 to 1992), Denmark (1985 to 2000), Sweden (1985 to 1992), Norway (1977 to 1992), and France (1960 to 1968). The trends are inconsistent and generally differes between countries."
Aid_given_per_person__2007_US__.png,"The graph shows the aid given per person of selected countries from 1967 to 2007, expressed in 2007 US dollars. Some countries have missing information. Most countries consistently reported low values (2 to 288) except Luxembourg, Sweden, Denmark, Norway, and Netherlands. The highest values (574 to 718) were recorded by Luxembourg (2004 to 2007) and Norway (1996 to 2007). The trend for aid given per person is generally upward for said countries, but majority stayed relatively the same."
Aid_received____of_GNI_.png,"The graph shows the aid received of selected countries from 1965 to 2021, expressed in percentage of GNI. Some countries have missing information, with South Sudan having sparse data. Majority of the countries consistently reported the minimum value (< 55%) except Kyrgyzstan, Somalia, Georgia, Cambodia, Albania, Uganda, Mongolia, and South Sudan. The highest values (> 223%) were recorded by Albania (1987 to 1993) and South Sudan (2015 to 2021). Trend is inconsistent and varies between countries."
Aid_received__total__US___inflation_adjusted_.png,"The graph shows the total aid received of selected countries from 1960 to 2021, expressed in inflation-adjusted US dollars. Some countries have missing information. Most countries' total aid received consistently fall below 1.27 million except Congo (1998 to 2021), Haiti (2010 to 2015), Zambia (1992 to 1997), and Ivory Coast (2010 to 2015). The highest values (> 2.56 million) were recorded by Congo from 2010 to 2021."
Aid_received_per_person__current_US__.png,"The graph shows the aid received per person of selected countries from 1960 to 2021, expressed in current US dollars. Some countries have missing information. Most countries consistently reported the lowest values (< 333) except Palestine, New Caledonia, Seychelles, Kiribati, Saint Vincent and the Grenadines, and Syria. The highest values (1820 to 2050) were recorded by New Caledonia from 1986 to 1997."
Air_transport__freight__million_ton_km_.png,"The graph shows the air freight transported by the selected countries from 1970 to 2021, expressed in million ton-km. Countries such as Barbado and Liberia have sparse data. Most countries consistently reported the lowest values (0 to 320) except Spain, Belgium, Bahrain, Vietnam,and Switzerland. The latter countries also generally had an upward trend, having increase air freight transported throughout the period. The highest values (1281 to 1802) were recorded by Belgium (2012 to 2021) and Switzerland (1992 to 2001, 2012 to 2021)."
Air_transport__passengers_carried.png,"The graph shows the number of passengers carried in air transports of selected countries from 1970 to 2021. Majority of the countries have misisng information. All countries consistently reported the lowest values (0 to 155 million) except United States. United States consistently had the highest number of passengers and constantly increased, reaching the highest values (618 million to 773 million) between 1992 and 2021."
Air_transport__registered_carrier_departures_worldwide.png,"The graph shows the registered carrier departures worldwide of selected countries from 1970 to 2021. Some countries have missing information. Most countries reported the lowest values (0 to 862,000) except China (2002 to 2021) and Germany (2002 to 2017). China consistently increased their registered carrier departures by 2002, reaching the highest value (3.45 million to 4.31 million) between 2014 and 2021."
Alternative_and_nuclear_energy____of_total_energy_use_.png,"The graph shows the alternative and nuclear energy usage of selected countries from 1971 to 2014, expressed in percentage of total energy use. Only Kyrgyzstan has missing data (1971 to 1984). Majority of the countries have consistently reported the lowest values (< 4%) of alternative and nuclear energy use except Brazil, Turkey, Romania, Argentina, Zimbabwe, Kyrgyzstan, and Spain. The highest values (> 18%) were recored by Kyrgyzstan (1997 to 2014) and Spain (2009 to 2014)."
Alternative_GDP_per_capita_PPP__from_PWT__inflation_adjusted_.png,"The graph shows the inflation-adjusted alternative GDP per capita PPP (from PWT) of selected countries from 1960 to 2004. Majority of the countries have missing information. Most countries consistently reported the lowest values (396 to 1140) except Oman, Kuwait, Bahrain, United Kingdom, Japan, and Cyprus. The highest value (> 4430) was recorded by Kuwait from 1968 to 1975."
Alternative_GDP_per_capita_PPP__PWT_7_1.png,"The graph shows the alternative GDP per capita PPP (PWT 7.1) of selected countries from 1960 to 2010. Some countries have missing information. Majority of the countries' values consistently fall below 2020 except Singapor, Iceland, United States, France, Oman, Japan, and South Korea. The highest values (> 4000) were recorded by Singapore (2006 to 2010), Iceland (2006 to 2010), and United States (2001 to 2010). The trend of the alternative GDP per capita PPP is generally upward for the selected countries."
Alternative_GDP_per_capita_PPP__PWT_8_0.png,"The graph shows the alternative GDP per capita PPP (PWT 8.0) of selected countries from 1955 to 2011. Some countries have missing information. Majority of the countries's alternative GDP per capita PPP have an upward trend. The highest values (> 3670) were recorded by Singapore, Norway, and Switzerland between 2001 to 2011."
Alternative_GDP_per_capita_PPP__WB.png,"The graph shows the alternative GDP per capita PPP (WB) of selected countries from 1990 to 2022. Only Curacao has missing information (1990 to 1998). Majority of the countries consistently reported the lowest values (< 2100) except Curacao, Turkey, Hong Kong, Ireland, Czechia, Antigua and Barbuda, and Spain. The highest values (> 9900) were recorded by Ireland from 2019 to 2022. Alternative GDP per capita PPP of the countries also relatively stayed the same throughout with some exception such as Hong Kong and Ireland."
Annual_change_in__civil_society_Participation_Index__IDEA_.png,"The graph shows the annual change in civil society Participation Index (IDEA) of selected countries from 1976 to 2021. Some countries have missing information. Majority of the reported change in the index falls between -3 to 0, followed by 0 to 4. The lowest values (< -3) were reported by Burundi, China, Argentina, Mali, Honduras, India, Romania, and Nicaragua , while the highest values were reported by Libya and Romania. Trends are inconsistent and differs between countries."
Annual_change_in_Checks_on_Government_Index__IDEA_.png,"The graph shows the annual change in Checks on Government Index (IDEA) of selected countries from 1976 to 2021. Some countries have missing information. Majority of the reported change in the index falls between -1 to 1, followed by -2 to -1. The lowest values (< -2) were reported by Belarus (1995 to 2004), Chad (1976 to 1985), and Poland (2013 to 2021). The highest value (> 3) was recorded by Poland from 1986 to 1994). Trends are inconsistent and differs between countries."
Annual_change_in_democracy_index__EIU_.png,"The graph shows the annual change in democracy index (EIU) of selected countries from 2007 to 2020. Majority of the reported change in the index falls between -1 to 4, followed by -5 to -1. The lowest values (< -5) were reported by Libya (2013 to 2016) and Egypt (2013 to 2014), while the highest value (> 6) was recorded by Libya from 2010 to 2012. No trends can be observed, and observations are random."
Annual_change_in_Direct_democracy_Index__IDEA_.png,"The graph shows the annual change in Direct democracy Index (IDEA) of selected countries from 1976 to 2021. Some countries have missing information. Majority of the reported change in the index falls between -1 to 1, followed by -3 to -1. The lowest values (< -3) were reported by New Zealand (2017 to 2021) and Bolivia (2012 to 2021), while the highest values (> 3) were recorded by Australia (1976 to 1981, 2017 to 2021), New Zealand (1988 to 1999), Bolivia (2000 to 2011), and Costa Rica (2006 to 2011). During 2017 to 2021, most countries' change in the index fall between -5 to 1."
Annual_change_in_Electoral_Participation_Index__IDEA_.png,"The graph shows the annual change in Electoral Pariticipation Index (IDEA) of selected countries from 1976 to 2021. Some countries have missing information. Most of the reported change in the index falls between -4 to 3, followed by -11 to -4. No trends can be observed, and the observed annual changes in the index are random."
Annual_change_in_Fundamental_Rights_Index__IDEA_.png,"The graph shows the annual change in Fundamental Rights Index (IDEA) of selected countries from 1976 to 2021. Some countries have missing information. Most of the reported change in the index falls between -2 to 0, followed by -0 to 3. The lowest values (< -2) were recorded by Bahrain (2007 to 2011), Argentina (1976 to 1981), Congo (1997 to 2001), and Burundi (2012 to 2016). The highest values (> 6) were recorded by Bahrain (2002 to 2006), Argentina (1982 to 1986), Chile (1987 to 1991), and Albania (1987 to 1991). No trends in the annual change of the index can be observed."
Annual_change_in_Impartial_Administration_Index__IDEA_.png,"The graph shows the annual change in Impartial Administration Index (IDEA) of selected countries from 1976 to 2021. Some countries have missing information. Most of the reported change in the index falls between -1 to 2, followed by -4 to 1. The lowest values (< -4) were recorded by Burundi (1992 to 1995, 2004 to 2007), Palestine (2016 to 2018), and Lebanon (1980 to 1983). The highest values (> 4) were recorded by Burundi (2019 to 2021), South Sudan (2019 to 2021), Gambia (2016 to 2018)."
Annual_change_in_Local_Democracy_Index__IDEA_.png,The graph shows the annual change in Local Democracy Index (IDEA) of selected countries from 1976 to 2021. Some countries have missing information. Majority of the countries consistently reported -3 to 0 change in the index. The lowest values (< -3) were recorded by Belarus (1995 to 2003) and Nicaragua (2004 to 2012). The highest value (> 6) was recorded by Poland from 1986 to 1994. No trend in the annual change of the index can be observed.
Annual_change_in_Representative_Government_Index__IDEA_.png,"The graph shows the annual change in Representative Government Index (IDEA) of selected countries from 1976 to 2021. Some countries have missing information. Majority of the countries consistently reported -1 to 4 change in the index. The lowest values (< -7) were recorded by Suriname (1981 to 1985), Haiti (2001 to 2005), and Ghana (1981 to 1985). The highest values (> 9) were recorded by Nigeria (1976 to 1980, 1996 to 2000), Suriname (1986 to 1990), Mozambique (1991 to 1995), Haiti (2006 to 2009), Ghana (1976 to 1980, 1991 to 1995) and Chile (1986 to 1990). All observations that fall in the lowest group are either preluded or followed by an annual change in the highest group."
Annual_freshwater_withdrawals__agriculture____of_total_freshwater_withdrawal_.png,"The graph shows the annual freswater withdrawals used in agriculture in selected countries from 1989 from 2020, expressed in percentage of total freshwater withdrawal. Majority of the countries have missing information. Poland, Monaco, Germany, Brunei, Equatorial Guinea, Canada, and Hungary consistently reported values part of the lowest group (< 17%). On the other hand, Syria and Equador consistently reported values that are part of the highest group (> 73%). Trends are inconsistent, and differs country by country."
Annual_freshwater_withdrawals__domestic____of_total_freshwater_withdrawal_.png,"The graph shows the annual freswater withdrawals for domestic use in selected countries from 1988 from 2020, expressed in percentage of total freshwater withdrawal. Majority of the countries have missing information. Majority of the countries consistently reported values part of the two lowest groups (< 40%) except Luxembourg, Monaco, Croatia, Trinidad and Tobago, Gabon, and Saint Kitts and Nevis. Values part of the highest group (> 80%) were recorded by Luxembourg (1988 to 1993, 2003 to 2020), Monaco (1988 to 2020), Croatia (2000 to 2008) and Saint Kitts and Nevis (2012 to 2020)."
Annual_freshwater_withdrawals__industry____of_total_freshwater_withdrawal_.png,"The graph shows the annual freswater withdrawals for industrial use in selected countries from 1990 from 2020, expressed in percentage of total freshwater withdrawal. Some of the countries have missing information. Majority of the countries consistently reported values part of the lowest group (< 17%) except Antigua and Barbuda, Netherlands, Guatemala, Belize, Trinidad and Tobago, Lebanon, Slovakia, and Romania. Values part of the highest group (> 80%) were consistently recorded in Netherlands. Annual freshwater withdrawals for industrial use tends to be relatively the same throughout."
Annual_freshwater_withdrawals__total____of_internal_resources_.png,"The graph shows the total annual freswater withdrawals in selected countries from 1990 from 2020, expressed in percentage of internal resources. Costa Rica has sparse data. Most countries consistently reported values part of the lowest group (< 163%) except Israel, Libya, and Pakistan. Values part of the highest group (> 653%) were consistently recorded in Libya from 1991 to 1994, and from 2003 to 2020. The total annual freshwater withdrawals relative to the country's internal resources tends to be relatively the same throughout the period."
Annual_freshwater_withdrawals__total__billion_cubic_meters_.png,"The graph shows the total annual freswater withdrawals in selected countries from 1987 from 2020, expressed in billion cubic meters. Some countries have missing information. Most countries consistently reported values part of the lowest group (< 38) except Japan, Iran, Pakistan, and Brazil. Values part of the highest group (> 153) were consistently reported in Pakistan. The total annual freshwater withdrawals of a country tends to be relatively the same throughout the period."
Annual_HIV_deaths__number__all_ages_.png,The graph shows the total annual HIV deaths in all ages of selected countries from 1990 to 2011. South Sudan has sparse data. Most countries consistently reported values part of the lowest group (< 14500) except Malawi (1990 to 2011) and Ivory Coast (1994 to 2011). Values part of the highest group (> 57800) were recorded in Malawi from 2002 to 2008.
Antiretroviral_therapy_coverage____of_people_living_with_HIV_.png,"The graph shows the antiretroviral therapy coverage of selected countries from 2000 to 2022, expressed in percentage of people living with HIV. The trend for all countries is upward, where most of the countries have coverage of at least 55% of the people living with HIV in their country, in contrast of at most 18% before 2009 in most countries. By 2022, 9 out of 29 countries have given coverage to at least 73% of their people living with HIV."
Antiretroviral_therapy_coverage_for_PMTCT____of_pregnant_women_living_with_HIV_.png,"The graph shows the antiretroviral therapy coverage for PTMCT of selected countries from 2000 to 2022, expressed in percentage of pregnant women living with HIV. Some countries have missing information. The trend for most countries is upward, where majority of the countries have coverage of at least 60% of the pregnant women living with HIV in their country, in contrast of at most 20% before 2006 in most countries. By 2022, 7 out of 16 countries have given coverage to at least 80% of pregnant people living with HIV in their country."
Aquaculture_production__metric_tons_.png,"The graph shows the aquacultur production of selected countries from 1960 to 2022, expressed in metric tons. Most countries consistently reported values that are part of the lowest group (< 1.58 million) except India and Vietnam. The highest aquaculture production recorded was 7.91 million in India from 2016 to 2022. Only India and Vietnam seems to be increasing in production, whereas other countries tend to be relatively the same throughout the period."
Arable_land____of_land_area_.png,"The graph shows the amount of arable land of selected countries from 1961 to 2021, expressed in percentage of land area. Some countries have missing information. Most countries have their arable land to be less than 22% of their total land area except Comoros, Serbia, India, Moldova, and Belgium. India and Moldova consistently reported values part of the highest group (> 44%). Trends tend to be inconsistent and vary between countries."
Arable_land__hectares_.png,"The graph shows the amount of arable land of selected countries from 1961 to 2021, expressed in hectares. Some countries have missing information. Most countries have their arable land to be between 182 to 25.4 million hectares except Russia. On the other han, Russia consistently had the biggest arable land, ranging from 102 to 127 million hectares between 1992 to 2021."
Arable_land__hectares_per_person_.png,"The graph shows the amount of arable land of selected countries from 1961 to 2021, expressed in hectares per person. Some countries have missing information. Most countries have their arable land to be less than 1 hectare per person except Kazakhstan. On the other hand, Kazakhstan consistently had the biggest arable land from 1985 ( > 1 hectare per person). The general trend tends to be either downward or to stay relatively the same."
Armed_forces_personnel____of_labor_force_.png,"The graph shows the armed forces personnel of selcted countries from 1990 to 2020, expressed in percentage of labor forcce. Some countries such as Bhutan and Somalia have missing information. Most countries consistently reported values part of the lowest group (< 3%) except Singapore, Iran, and Somalia, though said three countries exhibit a downward trend in armed forces personnel. The highest value (16%) was recorded in Somalia from 1994 to 1997."
Armed_forces_personnel____of_total_labor_force_.png,"The graph shows the armed forces personnel of selected countries from 1991 to 2020, expressed in percentage of total labor force. Some countries have missing information. Most countries consistently reported values less than 4% except Albania, Brunei, Jordan, Lebanon, and Libya. The highest values (> 9%) were recorded in Jordan between 1991 to 2000. There is a generally a downward trend exhibited, but this may vary between countries."
Armed_forces_personnel__total.png,"The graph shows the total armed forces personnel of selected countries from 1985 to 202. Some countries have missing information. Most countries consistently reported values between 0 and 424 thousand except South Korea, Ukraine, and United States. The highest values (> 1.7 million) were consistently recorded in United States."
Arms_imports__SIPRI_trend_indicator_values_.png,"The graph shows the arms imports of selected countries from 1960 to 2022 using the SIPRI trend indicator values. Majority of the countries have missing data. Most countries consistently reported values less than 1.09 billion except China, Afghanistan, and Pakistan. The highest value (> 2.18 billion) was recorded in China between 2002 and 2007."
Arms_imports__US___inflation_adjusted_.png,"The graph shows the arms imports of selected countries from 1960 to 2022, expressed in inflation-adjusted US dollars. Most of the countries have missing data. Most countries also consistently reported values less than 541 million except China, Bulgaria, Belgium, and Pakistan. The highest value (> 2.16 billion) was recorded in China between 2003 and 2007."
Asylum_seekers_by_country_of_origin.png,"The graph shows the number of asylum-seekers by country of origin from 1970 to 2023. Majority of the countries have missing data. Most countries consistently reported values part of the lowest group (0 to 25,900) except Cuba ( 2018 to 2023) and China (2012 to 2023). The highest values (104,000 to 129,000) were recorded in Cuba and China from 2018 to 2023."
Asylum_seekers_by_country_of_residence.png,"The graph shows the number of asylum-seekers by country of residence from 1970 to 2023. Majority of the countries have missing data. Most countries consistently reported values part of the lowest group (0 to 8,460) except Germany (2000 to 2004, 2010 to 2023) and Italy (2015 to 2019). The highest value (42,300) was recorded in Germany between 2015 and 2019."
At_least_basic_sanitation__overall_access____.png,"The graph shows the percentage of people with at least basic sanitation in selected countries from 2000 to 2022. Some countries have missing information. Some countries as Niger, Liberia, and Eritrea consistently reported low access to basic sanitation (< 24%). By 2022, 16 out of 27 countries have given at least basic sanitation to at least 81% of their population. The trend is generally upward with some exceptions such as American Samoa."
At_least_basic_sanitation__rural_access____.png,"The graph shows the percentage of people with at least basic sanitation in rural areas in selected countries from 2000 to 2022. The trend is generally upward since by 2022, majority of the countries giving at least basic sanitation to at least 60% of their rural population. Also, only Guinea-Bissau and Congo have less than 20% of the rural population with at least basic sanitation."
At_least_basic_sanitation__urban_access____.png,"The graph shows the percentage of people with at least basic sanitation in urban areas in selected countries from 2000 to 2022. Turks and Caicos Islands has missing data. Most countries consistently reported high access (> 85%) except Zambia, Cambodia, Papua New Guinea, Dominican Republic, and Haiti. The trend is generally upward, with majority of the countries giving at least basic sanitation to at least 85% of their urban population by 2022."
At_least_basic_water_source__overall_access____.png,"The graph shows the percentage of people with at least basic water source in selected countries from 2000 to 2022. Only Antigua and Barbuda has missing information. Most countries consistently reported high overall access (88%) to at least a basic water source except Yemen, Burkina Faso, Lesotho, Moldova, Honduras, and Guinea. The lowest values (< 53%) were reported by Yemen (2000 to 2011), Burkina Faso (2012 to 2022), and Guinea (2000 to 2003). By 2022, only 4 out of 24 countries have not reached at least 88% overall access in at least a basic water source."
At_least_basic_water_source__rural_access____.png,"The graph shows the percentage of people with at least basic water source in rural areas in selected countries from 2000 to 2022. Only Argentina has missing information. The trend is generally upward, with majority of the countries having at least 81% of the rural population access to at least a basic water source by 2022. The lowest values (< 27%) were recorded in Congo (2000 to 2022) and Somalia (2000 to 2014)."
At_least_basic_water_source__urban_access____.png,"The graph shows the percentage of people with at least basic water source in urban areas in selected countries from 2000 to 2022. Only Antigua and Barbuda has missing information. The trend is generally upward, with most of the countries having at least 91% of the urban population with at least a basic water source by 2022. Only Rwanda, Tanzania, and Zambia have less than 91% of their urban population with at least a basic water source by 2022."
Automated_teller_machines__ATMs___per_100_000_adults_.png,"The graph shows the number of automated teller machines (ATMs) per 100,000 adults in selected countries from 2004 to 2021. Some countries have missing information. Majority of the countries consistently reported between 0 to 89 ATMs per 100,000 adults except France, Switzerland, Israel, Ireland, Russia, Canada, Slovenia, and United Kingdom. The highest values (179 to 224 ATMs) were consistently recorded in Canada from 2004 to 2021. The trend is generally upward, though it may vary between countries."
Average_daily_income____person_day__inflation____price_adjusted.png,"The graph shows the inflation and price adjusted average daily income of selected countries from 1800 to 2100, expressed in US dollars. Most observations fall below 27 dollars from 1800 to 1999. The highest values (> 107) are observed in Singapore from 2027 to 2100. The trend is generally upward, though majority of the observations still fall below 54 dollars even by 2100."
Average_hourly_labour_cost_per_employee__constant_2017_PPP___.png,"The graph shows the average hourly labour cost per employee of selected countries from 2004 to 2020, expressed in constant 2017 PPP. Majority of the countries have missing information. The lowest values (< 8) were reported in Croatia (2009 to 2012), Ukraine (2009 to 2010), Latvia (2004 to 2007), Armenia (2011 to 2018), Argentina (2011 to 2012), Slovakia (2004 to 2005), Kazakhstan (2009 to 2010, 2017), and Bulgaria (2004 to 2012). The highest values (> 34) were reported by Luxembourg (2011 to 2020), Austria (2016 to 2020), and Finland (2016 to 2020). The trend of the average hourly labour cost per employee is generally employee."
Average_precipitation_in_depth__mm_per_year_.png,"The graph shows the average precipitation in depth of selected countries from 1961 to 2020, expressed in millimeter per year. Russia and Eritrea have missing information. Countries such as Chad, Pakistan, Cyprus, Russia, Eritrea, Dijibouti, and Australia consistently reported having low average precipitation in depth (< 720). On the other hand, Brunei and Brazil consistently reported having high average precipitation in depth (> 2221). Averages precipitation tends to be relatively the same throughout the period."
Babies_per_woman__total_fertility.png,"The graph shows the total fertility of selected countries from 1800 to 2100, expressed in babies per woman. Majority of the countries have an average of at least 5 to 6 babies per woman from 1800 to 1992. By 2019, majority of the countries instead have an average of at most 2 to 3 babies per woman. Projections estimate a downward trend for total fertility countries, with an estimate of around 1 to 2 babies per woman in all countries included by 2100."
Babies_per_woman__total_fertility_.png,"The graph shows the total fertility of selected countries from 1800 to 2100, expressed in babies per woman. Majority of the countries have an average of at least 5 to 6 babies per woman from 1800 to 1992. By 2019, majority of the countries instead have an average of at most 2 to 4 babies per woman. Projections estimate a downward trend for total fertility countries, with an estimate of around 1 to 2 babies per woman in all countries included by 2100."
Babies_per_woman__total_fertility___with_projections.png,"The graph shows the total fertility of selected countries from 1800 to 2100, expressed in babies per woman. Majority of the countries have an average of at least 5 to 6 babies per woman from 1800 to 1988. By 2009, majority of the countries instead have an average of at most 2 to 3 babies per woman. Projections estimate a downward trend for total fertility countries, with an estimate of around 1 to 2 babies per woman in most countries included by 2099."
Bacille_Calmette_Gu_rin__BCG__immunizarion_coverage_among_1_year_olds____.png,"The graph shows the rate of BCG Immunization coverage among 1-year-olds in selected countries from 1980 to 2020. Majority of the countries have missing information. The lowest immunization coverages (< 24%) were recorded in Pakistan (1980 to 1983), Ethiopia (1980 to 1987), and Iran (1980 to 1983). Majority of the reported immunization coverage is at least 80% by 2022. The trend is generally upward, though it may vary between countries."
Bank_capital_to_assets_ratio____.png,"The graph shows the bank capital to assets ratio of selected countries from 2008 to 2022, expressed in percentages. Majority of the countries have missing information, with Azerbaijan and Myanmar having sparse data. All countries except Malta consistently reported low values (2% to 50%). The highest value (244%) was reported by Malta in 2022."
Bank_liquid_reserves_to_bank_assets_ratio____.png,"The graph shows the bank liquid reserves to bank assets ratio of selected countries from 2001 to 2023, expressed in percentages. Some countries have missing information. Majority of the countries consistently reported values between 0% to 61%, with exceptions such as Iraq, Bhutan, Congo, Tonga, Sao Tome and Principe, and Nigeria. The highest values (> 123%) were reported by Iran from 2005 to 2014. The trend is generally upward, with some exceptions such as Congo."
Bank_nonperforming_loans_to_total_gross_loans____.png,"The graph shows the ratio of bank nonperforming loans to total gross loans of selected countries from 2008 to 2022, expressed in percentages. Majority of the countries have missing information. Majority of the countries consistently reported values less than 10% with exceptions such as Kyrgyzstan, Lebanon, Tonga, Ukraine, and Iraq. The highest values (> 43%) were recorded by Ukraine from 2016 to 2020."
Basic_welfare_Index__IDEA_.png,"The graph shows the basic welfare index (IDEA) of selected countries from 1975 to 2021. Some countries have missing information. The trend is generally upward, with majority of the countries scoring at leat 57 in the index by 2021. Only Somalia consistently reported values that are part of the lowest group (< 30), but countries such as Equatorial Guinea, Zambia, Mongoloa, Laos, and Maldives have years that scored indices falling in the lowest group. By 2021, Lithuania, Singapor, Italy, Croatia, Canada, Slovakia, and United States scored at least 71 in the basic welfare index."
Binding_coverage__all_products____.png,"The graph shows the binding coverage of all products of selected countries from 1996 to 2021, expressed in percentages. Some countries have missing information. Majority of the countries consistently had high binding coverage (> 80%) throughout the period. Lichtenstein recorded the lowest binding coverage (< 20%) from 2007 to 2021. By 2021, only Suriname, Malawi, Guinea, Liechtenstein, and Fiji have binding coverage lower than 80% in the selected countries."
Binding_coverage__manufactured_products____.png,"The graph shows the binding coverage of manufactured products of selected countries from 1996 to 2021, expressed in percentages. Majority of the countries have missing information. Majority of the countries also consistently had high binding coverage (> 80%) throughout the period. Only Israel, Sri Lanka, Ghana and Central African Republic recorded binding coverages lower than 80%, with Ghana consistently recording a low binding coverage (< 22%) from 1999 to 2021."
Binding_coverage__primary_products____.png,"The graph shows the binding coverage of primary products of selected countries from 1996 to 2021, expressed in percentages. Some of the countries have missing information. Majority of the countries consistently had high binding coverage (> 81%) throughout the period. On the other hand, Myanmar, Guinea, Zambia, and Cameroon consistently reported low binding coverages (< 62%) for their primary products. Binding coverages tend to be relatively the same for each country throughout the period."
Birth_rate__crude__per_1_000_people_.png,"The graph shows the crude birth rate per 1000 people of selected countries from 1960 to 2022. Only Cayman Islands has missing information. The trend is generally downward, with majority of the crude birth rate being below 26 per 1000 people by 2022 whereas the majority of the countries have crude birth rates greater than 36 per 1000 people between 1960 to 1965. Uganda and Afghanistan have the slowest descents, with crude birth rates still above 36 per 1000 people by 2022."
Births_attended_by_skilled_health_staff____of_total_.png,"The graph shows the births attend by skilled health staff of selected countries from 1998 to 2019, expressed in percentage of total births. Majority of the countries have missing information, where Naura and Switzerland have sparse data. Majority of the countries consistently recorded at least 81% of births with exceptions such as Ethiopia, Madagascar, Morocco, Vietnam, Bangladesh, and Myanmar. The lowest percentages (< 24%) were recorded in Ethiopia (1998 to 2005, 2010 to 2016) and Bangladesh (1998 to 2009)."
Blood_pressure__men__SBP__mmHg.png,"The graph shows the systolic blood pressure of men of selected countries from 1980 to 2008, expressed in mmHg. The lowest recorded values (120 to 124) were recorded in Myanmar and Thailand from 1980 to 2002. The highest values (> 135) were recorded in Equatorial Guinea (2006 to 2008), Ivory Coast (1980 to 1983), Slovenia (1980 to 2008), Georgia (1980 to 1996), and Andorra (1980 to 1987). The trends appear inconsistent and varies between countries."
